Date,si_x
2018-10-16,-0.25
2018-10-17,-0.091
2018-10-18,0.091
2018-10-19,0.0
2018-10-20,-0.375
2018-10-21,0.059
2018-10-22,-0.125
2018-10-23,0.0
2018-10-24,-0.125
2018-10-25,0.0
2018-10-26,-0.25
2018-10-27,-0.125
2018-10-28,-0.05
2018-11-01,0.0
2018-11-02,-0.125
2018-11-03,0.0
2018-11-04,0.067
2018-11-05,0.05
2018-11-06,-0.174
2018-11-07,0.0
2018-11-08,0.125
2018-11-09,0.0
2018-11-10,-0.125
2018-11-11,-0.125
2018-11-12,-0.143
2018-11-13,-0.095
2018-11-14,0.0
2018-11-15,0.0
2018-11-16,0.0
2018-11-17,-0.125
2018-11-18,-0.056
2018-11-19,-0.1
2018-11-24,-0.182
2018-11-25,-0.158
2018-11-26,-0.125
2018-11-27,-0.077
2018-11-28,-0.182
2018-11-29,-0.125
2018-11-30,0.0
2018-12-01,0.0
2018-12-02,0.0
2018-12-03,0.0
2018-12-04,0.0
2018-12-05,0.0
2018-12-06,-0.25
2018-12-07,-0.25
2018-12-08,-0.1
2018-12-09,0.062
2018-12-10,-0.25
2018-12-11,0.0
2018-12-12,0.0
2018-12-13,-0.25
2018-12-14,-0.125
2018-12-15,0.0
2018-12-16,0.0
2018-12-17,0.0
2018-12-18,-0.056
2018-12-19,-0.125
2018-12-20,0.0
2018-12-24,-0.059
2018-12-25,-0.133
2018-12-26,0.125
2018-12-27,-0.125
2018-12-28,0.0
2018-12-29,0.0
2018-12-30,-0.077
2018-12-31,0.0
2019-01-01,-0.042
2019-01-02,-0.2
2019-01-03,-0.2
2019-01-04,-0.4
2019-01-05,-0.069
2019-01-06,0.0
2019-01-07,0.0
2019-01-08,-0.059
2019-01-09,-0.2
2019-01-10,-0.143
2019-01-11,-0.077
2019-01-19,-0.053
2019-01-20,0.012
2019-01-22,-0.214
2019-01-23,0.0
2019-01-24,0.0
2019-01-25,-0.06
2019-01-26,-0.059
2019-01-27,-0.167
2019-01-28,0.0
2019-02-05,0.0
2019-02-06,-0.077
2019-02-07,0.05
2019-02-08,-0.286
2019-02-09,0.0
2019-02-10,-0.059
2019-02-11,0.05
2019-02-12,-0.143
2019-02-13,0.0
2019-02-14,0.0
2019-02-15,-0.1
2019-02-16,0.0
2019-02-17,-0.286
2019-02-18,0.0
2019-02-19,-0.125
2019-02-20,-0.286
2019-02-21,-0.143
2019-02-22,0.143
2019-02-23,-0.15
2019-02-24,0.0
2019-02-25,0.0
2019-02-26,-0.143
2019-02-27,-0.143
2019-03-03,-0.077
2019-03-04,-0.1
2019-03-05,-0.143
2019-03-06,-0.286
2019-03-07,-0.286
2019-03-08,-0.143
2019-03-09,0.0
2019-03-10,-0.071
2019-03-11,-0.143
2019-03-12,-0.143
2019-03-13,-0.286
2019-03-14,0.0
2019-03-15,-0.429
2019-03-16,-0.111
2019-03-17,-0.111
2019-03-18,-0.286
2019-03-19,0.05
2019-03-20,0.143
2019-03-21,-0.091
2019-03-22,0.077
2019-03-23,0.083
2019-03-28,0.0
2019-03-29,-0.091
2019-03-30,-0.143
2019-03-31,-0.077
2019-04-01,0.125
2019-04-02,-0.286
2019-04-03,-0.143
2019-04-04,0.0
2019-04-05,-0.429
2019-04-06,0.0
2019-04-07,0.0
2019-04-08,0.0
2019-04-09,0.0
2019-04-10,-0.143
2019-04-11,0.0
2019-04-12,-0.286
2019-04-13,-0.059
2019-04-14,0.143
2019-04-15,-0.118
2019-04-16,0.0
2019-04-17,0.0
2019-04-18,0.0
2019-04-23,-0.286
2019-04-24,0.067
2019-04-25,0.143
2019-04-26,0.0
2019-04-27,0.0
2019-04-28,0.0
2019-04-29,0.143
2019-05-01,0.0
2019-05-02,0.0
2019-05-03,0.429
2019-05-04,-0.05
2019-05-05,-0.222
2019-05-11,-0.077
2019-05-12,-0.091
2019-05-13,0.067
2019-05-14,-0.25
2019-05-15,0.125
2019-05-16,-0.286
2019-05-17,0.0
2019-05-18,0.0
2019-05-19,0.0
2019-05-20,-0.133
2019-05-21,-0.05
2019-05-22,0.0
2019-05-23,-0.143
2019-05-24,0.143
2019-05-30,-0.05
2019-05-31,-0.125
2019-06-01,-0.133
2019-06-02,-0.1
2019-06-03,0.0
2019-06-04,0.143
2019-06-05,0.0
2019-06-06,0.0
2019-06-07,0.0
2019-06-08,0.0
2019-06-09,-0.1
2019-06-10,-0.053
2019-06-11,0.0
2019-06-12,0.067
2019-06-13,-0.05
2019-06-14,-0.143
2019-06-15,0.0
2019-06-20,-0.067
2019-06-21,0.0
2019-06-22,-0.111
2019-06-23,0.0
2019-06-24,0.1
2019-06-25,0.0
2019-06-26,0.0
2019-06-27,0.125
2019-06-28,0.0
2019-06-30,-0.056
2019-07-01,0.0
2019-07-02,0.143
2019-07-03,0.0
2019-07-04,0.0
2019-07-10,-0.143
2019-07-11,-0.056
2019-07-12,-0.143
2019-07-13,0.0
2019-07-14,0.0
2019-07-15,-0.05
2019-07-16,0.0
2019-07-17,-0.048
2019-07-18,-0.05
2019-07-19,-0.095
2019-07-20,0.0
2019-07-21,-0.1
2019-07-22,0.0
2019-07-28,0.0
2019-07-29,0.0
2019-07-30,-0.143
2019-07-31,0.143
2019-08-01,-0.143
2019-08-02,-0.143
2019-08-03,-0.15
2019-08-04,-0.05
2019-08-05,0.0
2019-08-06,-0.143
2019-08-07,0.0
2019-08-08,0.0
2019-08-09,0.0
2019-08-10,0.0
2019-08-11,0.0
2019-08-12,-0.143
2019-08-13,0.0
2019-08-19,0.0
2019-08-20,0.062
2019-08-21,-0.143
2019-08-22,-0.143
2019-08-23,0.0
2019-08-24,0.0
2019-08-25,0.0
2019-08-26,-0.154
2019-08-27,-0.143
2019-08-28,0.0
2019-08-29,0.0
2019-08-30,0.0
2019-08-31,0.0
2019-09-01,0.0
2019-09-02,-0.143
2019-09-03,0.0
2019-09-04,0.0
2019-09-05,-0.286
2019-09-06,-0.15
2019-09-07,-0.2
2019-09-12,-0.1
2019-09-13,0.0
2019-09-14,0.0
2019-09-15,-0.143
2019-09-16,0.0
2019-09-17,-0.143
2019-09-18,-0.125
2019-09-19,0.15
2019-09-20,0.0
2019-09-21,0.0
2019-09-22,-0.143
2019-09-23,-0.105
2019-09-24,-0.059
2019-09-25,-0.143
2019-09-26,-0.143
2019-09-27,0.0
2019-09-28,0.05
2019-09-29,-0.143
2019-10-04,-0.1
2019-10-05,0.105
2019-10-06,-0.222
2019-10-07,0.0
2019-10-08,-0.182
2019-10-09,0.0
2019-10-10,0.0
2019-10-11,0.0
2019-10-12,0.0
2019-10-13,0.0
2019-10-14,-0.143
2019-10-15,0.0
2019-10-16,0.0
2019-10-17,0.0
2019-10-18,-0.15
2019-10-19,-0.048
2019-10-20,0.0
2019-10-21,0.0
2019-10-27,-0.1
2019-10-28,-0.143
2019-10-29,0.0
2019-10-30,0.0
2019-10-31,0.0
2019-11-01,-0.15
2019-11-02,0.0
2019-11-03,0.062
2019-11-04,0.0
2019-11-05,-0.048
2019-11-06,0.0
2019-11-07,0.0
2019-11-08,-0.143
2019-11-09,-0.059
2019-11-10,0.048
2019-11-11,-0.143
2019-11-12,-0.25
