Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Germany,GDP Constant Prices,2003-06-30T00:00:00,710.104,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2003-09-30T00:00:00,716.572,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2003-12-31T00:00:00,717.435,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2004-03-31T00:00:00,716.551,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2004-06-30T00:00:00,720.604,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2004-09-30T00:00:00,718.276,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2004-12-31T00:00:00,717.931,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2005-03-31T00:00:00,719.267,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2005-06-30T00:00:00,723.234,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2005-09-30T00:00:00,729.185,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2005-12-31T00:00:00,731.945,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2006-03-31T00:00:00,740.116,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2006-06-30T00:00:00,752.707,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2006-09-30T00:00:00,758.571,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2006-12-31T00:00:00,769.61,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2007-03-31T00:00:00,770.624,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2007-06-30T00:00:00,775.712,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2007-09-30T00:00:00,779.593,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2007-12-31T00:00:00,785.37,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2008-03-31T00:00:00,790.157,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2008-06-30T00:00:00,787.311,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2008-09-30T00:00:00,782.999,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2008-12-31T00:00:00,770.925,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2009-03-31T00:00:00,734.683,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2009-06-30T00:00:00,736.666,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2009-09-30T00:00:00,741.065,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2009-12-31T00:00:00,746.843,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2010-03-31T00:00:00,752.211,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2010-06-30T00:00:00,768.597,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2010-09-30T00:00:00,776.014,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2010-12-31T00:00:00,781.102,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2011-03-31T00:00:00,795.224,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2011-06-30T00:00:00,797.38,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2011-09-30T00:00:00,801.692,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2011-12-31T00:00:00,801.692,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
Germany,GDP Constant Prices,2012-03-31T00:00:00,803.416,Quarterly,GERMANYGDPCONPRI,2024-09-19T08:56:00
