Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Germany,Business Confidence,1995-10-31T00:00:00,96.8,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,1995-11-30T00:00:00,96.6,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,1995-12-31T00:00:00,95.9,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,1996-01-31T00:00:00,94.9,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1996-02-29T00:00:00,94,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1996-03-31T00:00:00,93.2,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,1996-04-30T00:00:00,94,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1996-05-31T00:00:00,92.9,Monthly,GRIFPBUS,2017-11-24T11:20:00
Germany,Business Confidence,1996-06-30T00:00:00,92.6,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1996-07-31T00:00:00,94.9,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1996-08-31T00:00:00,95.2,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1996-09-30T00:00:00,97,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1996-10-31T00:00:00,97.6,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,1996-11-30T00:00:00,97.1,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,1996-12-31T00:00:00,97.6,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1997-01-31T00:00:00,97.9,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1997-02-28T00:00:00,98.5,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1997-03-31T00:00:00,98.9,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1997-04-30T00:00:00,99.5,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,1997-05-31T00:00:00,100.2,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1997-06-30T00:00:00,99.8,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,1997-07-31T00:00:00,101.4,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1997-08-31T00:00:00,101.7,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1997-09-30T00:00:00,103.6,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1997-10-31T00:00:00,104.1,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1997-11-30T00:00:00,104.1,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,1997-12-31T00:00:00,105.1,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1998-01-31T00:00:00,103.3,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1998-02-28T00:00:00,104.1,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1998-03-31T00:00:00,104.8,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,1998-04-30T00:00:00,104.4,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,1998-05-31T00:00:00,104.1,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1998-06-30T00:00:00,103.5,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1998-07-31T00:00:00,103.6,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1998-08-31T00:00:00,102.5,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1998-09-30T00:00:00,100.2,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1998-10-31T00:00:00,99,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,1998-11-30T00:00:00,99.3,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1998-12-31T00:00:00,99,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,1999-01-31T00:00:00,97.9,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1999-02-28T00:00:00,96.3,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1999-03-31T00:00:00,97.4,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1999-04-30T00:00:00,97,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,1999-05-31T00:00:00,97.3,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1999-06-30T00:00:00,98.2,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1999-07-31T00:00:00,98.9,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1999-08-31T00:00:00,100.2,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1999-09-30T00:00:00,101.9,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,1999-10-31T00:00:00,102.2,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1999-11-30T00:00:00,104.4,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,1999-12-31T00:00:00,104.3,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,2000-01-31T00:00:00,104,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,2000-02-29T00:00:00,105.4,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2000-03-31T00:00:00,105.3,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,2000-04-30T00:00:00,106.5,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2000-05-31T00:00:00,105.6,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,2000-06-30T00:00:00,104.8,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2000-07-31T00:00:00,104.4,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,2000-08-31T00:00:00,104.2,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,2000-09-30T00:00:00,103.9,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2000-10-31T00:00:00,104.2,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2000-11-30T00:00:00,103.8,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2000-12-31T00:00:00,103.4,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,2001-01-31T00:00:00,103,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,2001-02-28T00:00:00,101.7,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2001-03-31T00:00:00,100.6,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,2001-04-30T00:00:00,98.6,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2001-05-31T00:00:00,96.8,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2001-06-30T00:00:00,95.4,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,2001-07-31T00:00:00,95.5,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,2001-08-31T00:00:00,94.9,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,2001-09-30T00:00:00,91.5,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,2001-10-31T00:00:00,91,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,2001-11-30T00:00:00,92,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,2001-12-31T00:00:00,93,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2002-01-31T00:00:00,92.4,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2002-02-28T00:00:00,93.4,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2002-03-31T00:00:00,96.1,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2002-04-30T00:00:00,95.2,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2002-05-31T00:00:00,96.1,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2002-06-30T00:00:00,95.5,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2002-07-31T00:00:00,94.1,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2002-08-31T00:00:00,94,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,2002-09-30T00:00:00,94.1,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,2002-10-31T00:00:00,93.9,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2002-11-30T00:00:00,91.6,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,2002-12-31T00:00:00,91.3,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,2003-01-31T00:00:00,91.7,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,2003-02-28T00:00:00,92.6,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2003-03-31T00:00:00,92.4,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2003-04-30T00:00:00,92.2,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,2003-05-31T00:00:00,92.7,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,2003-06-30T00:00:00,93.9,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2003-07-31T00:00:00,95,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,2003-08-31T00:00:00,96.6,Monthly,GRIFPBUS,2017-11-24T11:20:00
Germany,Business Confidence,2003-09-30T00:00:00,97.7,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2003-10-31T00:00:00,99.9,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2003-11-30T00:00:00,100.9,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2003-12-31T00:00:00,100.9,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,2004-01-31T00:00:00,102.1,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,2004-02-29T00:00:00,100.2,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2004-03-31T00:00:00,99.2,Monthly,GRIFPBUS,2017-11-24T11:20:00
Germany,Business Confidence,2004-04-30T00:00:00,99.3,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,2004-05-31T00:00:00,99.3,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2004-06-30T00:00:00,99.1,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,2004-07-31T00:00:00,99.6,Monthly,GRIFPBUS,2017-12-19T16:31:00
Germany,Business Confidence,2004-08-31T00:00:00,100.1,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,2004-09-30T00:00:00,100.5,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,2004-10-31T00:00:00,100.4,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,2004-11-30T00:00:00,100.5,Monthly,GRIFPBUS,2018-01-25T09:36:00
Germany,Business Confidence,2004-12-31T00:00:00,100.7,Monthly,GRIFPBUS,2018-02-22T10:54:00
Germany,Business Confidence,2005-01-31T00:00:00,92.2,Monthly,GRIFPBUS,2024-02-23T09:46:00
Germany,Business Confidence,2005-02-28T00:00:00,92,Monthly,GRIFPBUS,2024-02-23T09:46:00
Germany,Business Confidence,2005-03-31T00:00:00,90.1,Monthly,GRIFPBUS,2023-04-24T08:43:00
Germany,Business Confidence,2005-04-30T00:00:00,89.9,Monthly,GRIFPBUS,2024-04-24T08:55:00
Germany,Business Confidence,2005-05-31T00:00:00,89.4,Monthly,GRIFPBUS,2023-08-25T09:11:00
Germany,Business Confidence,2005-06-30T00:00:00,89.4,Monthly,GRIFPBUS,2023-07-25T08:10:00
Germany,Business Confidence,2005-07-31T00:00:00,91.1,Monthly,GRIFPBUS,2023-08-25T09:11:00
Germany,Business Confidence,2005-08-31T00:00:00,92.1,Monthly,GRIFPBUS,2023-04-24T08:43:00
Germany,Business Confidence,2005-09-30T00:00:00,92.8,Monthly,GRIFPBUS,2024-02-23T09:46:00
Germany,Business Confidence,2005-10-31T00:00:00,94.4,Monthly,GRIFPBUS,2023-04-24T08:43:00
Germany,Business Confidence,2005-11-30T00:00:00,94.9,Monthly,GRIFPBUS,2023-02-22T11:37:00
Germany,Business Confidence,2005-12-31T00:00:00,95,Monthly,GRIFPBUS,2023-04-24T08:43:00
Germany,Business Confidence,2006-01-31T00:00:00,96.5,Monthly,GRIFPBUS,2023-06-26T08:30:00
Germany,Business Confidence,2006-02-28T00:00:00,97.7,Monthly,GRIFPBUS,2024-02-23T09:46:00
Germany,Business Confidence,2006-03-31T00:00:00,98.1,Monthly,GRIFPBUS,2023-04-24T08:43:00
Germany,Business Confidence,2006-04-30T00:00:00,97.9,Monthly,GRIFPBUS,2024-04-24T08:55:00
Germany,Business Confidence,2006-05-31T00:00:00,98.9,Monthly,GRIFPBUS,2024-02-23T09:46:00
Germany,Business Confidence,2006-06-30T00:00:00,99.1,Monthly,GRIFPBUS,2023-07-25T08:10:00
Germany,Business Confidence,2006-07-31T00:00:00,98.8,Monthly,GRIFPBUS,2023-08-25T09:11:00
Germany,Business Confidence,2006-08-31T00:00:00,98.7,Monthly,GRIFPBUS,2023-04-24T08:43:00
Germany,Business Confidence,2006-09-30T00:00:00,99,Monthly,GRIFPBUS,2023-06-26T08:30:00
Germany,Business Confidence,2006-10-31T00:00:00,99.4,Monthly,GRIFPBUS,2023-04-24T08:43:00
Germany,Business Confidence,2006-11-30T00:00:00,100.8,Monthly,GRIFPBUS,2023-04-24T08:43:00
Germany,Business Confidence,2006-12-31T00:00:00,101.8,Monthly,GRIFPBUS,2023-06-26T08:30:00
Germany,Business Confidence,2007-01-31T00:00:00,101.5,Monthly,GRIFPBUS,2023-08-25T09:11:00
Germany,Business Confidence,2007-02-28T00:00:00,100,Monthly,GRIFPBUS,2023-04-24T08:43:00
Germany,Business Confidence,2007-03-31T00:00:00,100.7,Monthly,GRIFPBUS,2024-02-23T09:46:00
Germany,Business Confidence,2007-04-30T00:00:00,101.1,Monthly,GRIFPBUS,2023-06-26T08:30:00
Germany,Business Confidence,2007-05-31T00:00:00,101.2,Monthly,GRIFPBUS,2023-06-26T08:30:00
Germany,Business Confidence,2007-06-30T00:00:00,100,Monthly,GRIFPBUS,2023-07-25T08:10:00
Germany,Business Confidence,2007-07-31T00:00:00,100.2,Monthly,GRIFPBUS,2023-08-25T09:11:00
Germany,Business Confidence,2007-08-31T00:00:00,99.8,Monthly,GRIFPBUS,2023-08-25T09:11:00
Germany,Business Confidence,2007-09-30T00:00:00,99.2,Monthly,GRIFPBUS,2023-04-24T08:43:00
Germany,Business Confidence,2007-10-31T00:00:00,99.8,Monthly,GRIFPBUS,2023-10-25T09:11:00
Germany,Business Confidence,2007-11-30T00:00:00,98.7,Monthly,GRIFPBUS,2023-06-26T08:30:00
Germany,Business Confidence,2007-12-31T00:00:00,98.8,Monthly,GRIFPBUS,2023-06-26T08:30:00
Germany,Business Confidence,2008-01-31T00:00:00,98.2,Monthly,GRIFPBUS,2023-08-25T09:11:00
Germany,Business Confidence,2008-02-29T00:00:00,98.1,Monthly,GRIFPBUS,2023-06-26T08:30:00
Germany,Business Confidence,2008-03-31T00:00:00,98.1,Monthly,GRIFPBUS,2024-02-23T09:46:00
Germany,Business Confidence,2008-04-30T00:00:00,97.1,Monthly,GRIFPBUS,2023-06-26T08:30:00
Germany,Business Confidence,2008-05-31T00:00:00,96.8,Monthly,GRIFPBUS,2023-06-26T08:30:00
Germany,Business Confidence,2008-06-30T00:00:00,95.7,Monthly,GRIFPBUS,2023-07-25T08:10:00
Germany,Business Confidence,2008-07-31T00:00:00,92.4,Monthly,GRIFPBUS,2023-08-25T09:11:00
Germany,Business Confidence,2008-08-31T00:00:00,91.5,Monthly,GRIFPBUS,2023-08-25T09:11:00
Germany,Business Confidence,2008-09-30T00:00:00,91.1,Monthly,GRIFPBUS,2023-09-25T08:45:00
Germany,Business Confidence,2008-10-31T00:00:00,87.1,Monthly,GRIFPBUS,2023-06-26T08:30:00
Germany,Business Confidence,2008-11-30T00:00:00,84.3,Monthly,GRIFPBUS,2023-02-22T11:37:00
Germany,Business Confidence,2008-12-31T00:00:00,80.9,Monthly,GRIFPBUS,2023-04-24T08:43:00
