Date,SP_Close,Open,Volume,High,Low,Adj Close,Gdp,Zew,Gfk,Ifo,Interest,Inf,Co_usd,Oil_usd,Gold_usd,Bond_2,Bond_10,Eu_usd,Close,SMA_20,EMA_20,RSI_14,Middle_Band,Upper_Band,Lower_Band,EMA_12,EMA_26,MACD,MACD_Signal,Low_14,High_14,%k,%d,CMF
1999-11-26,1388.9100341796875,1407.8299560546875,951500000.0,1410.5899658203125,1386.949951171875,1388.9100341796875,688.48,80.7,16.2,101.9,3.0,0.8,0.788,25.36,297.75,4.025,5.215,1.0164,5958.06982421875,5776.142016601562,5796.310694328453,72.1309236264908,5776.142016601562,6062.5187084094605,5489.765324793664,5854.42344176455,5761.688391324761,92.73505043978912,84.67487801157418,5694.72998046875,5961.4501953125,98.73261533786246,84.7261589756344,605.3502640717678
1999-11-29,1397.719970703125,1388.9100341796875,884000000.0,1400.1199951171875,1387.3800048828125,1397.719970703125,688.48,80.7,16.2,101.9,3.0,0.8,0.7955,24.85,290.7,3.99,5.195,1.0093,5888.8798828125,5794.340014648437,5805.126807517409,63.425372877315645,5794.340014648437,6058.9267186117,5529.753310685174,5859.724432695004,5771.109983286816,88.6144494081882,85.46279229089699,5742.419921875,5961.4501953125,66.86745107830592,88.53335547205613,622.9004991108413
1999-11-30,1409.0400390625,1397.719970703125,900700000.0,1409.0400390625,1397.719970703125,1409.0400390625,688.48,84.5,16.2,104.4,3.0,1.1,0.8,23.64,290.5,4.011,5.195,1.0089,5896.0400390625,5811.794506835938,5813.785210521703,61.253544744620996,5811.794506835938,6052.660084065214,5570.928929606662,5865.311449059234,5780.3640614924225,84.94738756681181,85.35971134607995,5791.0498046875,5961.4501953125,61.613846065677116,75.73797082728183,629.4420302594261
1999-12-01,1433.300048828125,1409.0400390625,1006400000.0,1447.4200439453125,1409.0400390625,1433.300048828125,688.48,84.5,16.2,104.4,3.0,1.1,0.789,24.03,289.25,3.986,5.113,1.0076,5933.83984375,5830.4429931640625,5825.218985114875,59.95455825910665,5830.4429931640625,6045.924714939586,5614.961271388539,5875.85427901166,5791.732637955946,84.12164105571355,85.11209728800668,5791.0498046875,5961.4501953125,83.79677918505358,70.75935877634554,609.5397952222512
1999-12-02,1423.3299560546875,1433.300048828125,916800000.0,1434.1500244140625,1418.25,1423.3299560546875,688.48,84.5,16.2,104.4,3.0,1.1,0.784,24.96,284.5,4.009,5.184,1.0008,5937.2001953125,5845.521997070313,5835.883862276553,61.20010177964706,5845.521997070313,6045.230937398124,5645.813056742501,5885.292112288713,5802.50801257495,82.78409971376277,84.6464977731579,5814.740234375,5961.4501953125,83.47078831932158,76.29380452335077,622.7303333270105
1999-12-03,1409.1700439453125,1423.3299560546875,1085800000.0,1426.81005859375,1409.1700439453125,1409.1700439453125,688.48,84.5,16.2,104.4,3.0,1.1,0.7985,24.95,279.6,4.055,5.164,1.0022,6119.169921875,5868.57548828125,5862.863487000215,66.95943887663162,5868.57548828125,6083.088075693665,5654.062900868835,5921.273313763526,5825.964450300879,95.30886346264651,86.77897091105562,5814.740234375,6119.169921875,100.0,89.08918916812506,619.4142051034825
1999-12-06,1403.8800048828125,1409.1700439453125,957000000.0,1415.6600341796875,1403.8800048828125,1403.8800048828125,688.48,84.5,16.2,104.4,3.0,1.1,0.8,25.79,276.1,3.992,5.164,1.0228,6142.18994140625,5893.28798828125,5889.466006467457,65.7428380374941,5893.28798828125,6114.549923810073,5672.026052752428,5955.260487247022,5849.388560753129,105.87192649389272,90.59756202762304,5814.740234375,6142.18994140625,100.0,94.49026277310719,640.6780236766563
1999-12-07,1408.1099853515625,1403.8800048828125,1122100000.0,1418.4300537109375,1391.469970703125,1408.1099853515625,688.48,84.5,16.2,104.4,3.0,1.1,0.788,25.4,282.8,3.9,5.164,1.0252,6158.77001953125,5916.489990234375,5915.114007711628,70.1479909379668,5916.489990234375,6147.202286851344,5685.777693617406,5986.56964605998,5872.305705847804,114.26394021217584,95.3308376645336,5814.740234375,6158.77001953125,100.0,100.0,633.1009286482132
1999-12-08,1417.0400390625,1408.1099853515625,987200000.0,1421.5799560546875,1405.6500244140625,1417.0400390625,688.48,84.5,16.2,104.4,3.0,1.1,0.7855,25.69,282.0,3.937,5.031,1.0271,6115.58984375,5935.148486328125,5934.206944477188,62.181000820627496,5935.148486328125,6166.943019454934,5703.353953201316,6006.41890724306,5890.326753099818,116.09215414324171,99.48310096027524,5814.740234375,6158.77001953125,87.44871006978696,95.81623668992899,618.600428996099
1999-12-09,1415.219970703125,1417.0400390625,977600000.0,1421.5799560546875,1410.0999755859375,1415.219970703125,688.48,84.5,16.2,104.4,3.0,1.1,0.79,25.05,277.75,3.963,5.039,1.0206,6118.06005859375,5950.93349609375,5951.716764869241,61.98799322813444,5950.93349609375,6187.599748210629,5714.267243976872,6023.5944689893195,5907.195886840109,116.3985821492106,102.86619719806232,5814.740234375,6158.77001953125,88.16673361028595,91.8718145600243,644.2369718642817
1999-12-10,1403.1700439453125,1415.219970703125,1027800000.0,1418.300048828125,1401.5899658203125,1403.1700439453125,688.48,84.5,16.2,104.4,3.0,1.1,0.783,24.46,278.8,3.921,4.969,1.0125,6097.89990234375,5966.2760009765625,5965.638968438242,74.81650144532352,5966.2760009765625,6199.053430882314,5733.498571070811,6035.02607412077,5921.322110210749,113.70396391002123,105.03375054045411,5814.740234375,6158.77001953125,82.3067304594414,85.97405804650477,607.0021463581131
1999-12-13,1413.3299560546875,1403.1700439453125,1033900000.0,1417.4000244140625,1396.199951171875,1413.3299560546875,688.48,84.5,16.2,104.4,3.0,1.1,0.789,24.58,279.6,3.903,4.969,1.0136,6127.2001953125,5979.6715087890625,5981.0257519500765,76.73883176445419,5979.6715087890625,6217.309948920793,5742.033068657332,6049.206708150266,5936.572338736804,112.63436941346208,106.55387431505571,5818.72998046875,6158.77001953125,90.71585090220879,87.06310499064539,611.4337717833088
1999-12-14,1418.780029296875,1413.3199462890625,1070300000.0,1423.1099853515625,1408.3499755859375,1418.780029296875,688.48,84.5,16.2,104.4,3.0,1.1,0.795,25.02,279.7,3.953,4.969,1.0057,6187.990234375,5993.59501953125,6000.736655038164,78.79978826065266,5993.59501953125,6246.094237264714,5741.0958017977855,6070.558019877149,5955.195886561856,115.36213331529234,108.31552611510304,5888.8798828125,6187.990234375,100.0,91.00752712055005,608.6389187061129
