Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Germany,ZEW Economic Sentiment Index,1995-09-30T00:00:00,17.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1995-10-31T00:00:00,9.8,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1995-11-30T00:00:00,-6.5,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1995-12-31T00:00:00,-9.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1996-01-31T00:00:00,8.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1996-02-29T00:00:00,19.5,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1996-03-31T00:00:00,31.5,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1996-04-30T00:00:00,44.9,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1996-05-31T00:00:00,54.8,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1996-06-30T00:00:00,65.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1996-07-31T00:00:00,66.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1996-08-31T00:00:00,62.2,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1996-09-30T00:00:00,71,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1996-10-31T00:00:00,76.2,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1996-11-30T00:00:00,74.6,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1996-12-31T00:00:00,69.3,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1997-01-31T00:00:00,70.8,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1997-02-28T00:00:00,62.3,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1997-03-31T00:00:00,65.7,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1997-04-30T00:00:00,73,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1997-05-31T00:00:00,70.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1997-06-30T00:00:00,68.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1997-07-31T00:00:00,66.9,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1997-08-31T00:00:00,66.3,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1997-09-30T00:00:00,71.9,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1997-10-31T00:00:00,78.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1997-11-30T00:00:00,68.3,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1997-12-31T00:00:00,61.9,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1998-01-31T00:00:00,49.9,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1998-02-28T00:00:00,40.7,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1998-03-31T00:00:00,51,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1998-04-30T00:00:00,63.6,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1998-05-31T00:00:00,64.2,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1998-06-30T00:00:00,68.7,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1998-07-31T00:00:00,68.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1998-08-31T00:00:00,58.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1998-09-30T00:00:00,22.8,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1998-10-31T00:00:00,-6.2,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1998-11-30T00:00:00,-17.9,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1998-12-31T00:00:00,-24.9,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1999-01-31T00:00:00,-25.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1999-02-28T00:00:00,-6.6,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1999-03-31T00:00:00,9.2,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1999-04-30T00:00:00,30.3,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1999-05-31T00:00:00,45.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1999-06-30T00:00:00,56.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1999-07-31T00:00:00,74.3,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1999-08-31T00:00:00,74,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1999-09-30T00:00:00,80.7,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1999-10-31T00:00:00,82.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1999-11-30T00:00:00,84.5,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,1999-12-31T00:00:00,84.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2000-01-31T00:00:00,89.6,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2000-02-29T00:00:00,85.5,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2000-03-31T00:00:00,83.7,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2000-04-30T00:00:00,83,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2000-05-31T00:00:00,81,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2000-06-30T00:00:00,77.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2000-07-31T00:00:00,71.9,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2000-08-31T00:00:00,67.7,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2000-09-30T00:00:00,40.8,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2000-10-31T00:00:00,20.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2000-11-30T00:00:00,8.7,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
