trial,model,loss,acc,f1,hidden_size,num_layers,sequence_length,batch_size,learning_rate,epochs,mode
8,LSTM,0.5729708075523376,0.7402489626556017,0.4253695755841679,87,3,28,32,0.0003351808451029,57,MIN
9,LSTM,0.5735569000244141,0.7399507793273175,0.4252710985384252,134,1,14,64,0.0048181756307699,96,MIN
10,LSTM,0.5729452967643738,0.7402489626556017,0.4253695755841679,60,2,28,256,0.0074288544209092,200,MIN
11,LSTM,0.5729770064353943,0.7402489626556017,0.4253695755841679,52,2,28,256,0.006831435133298,195,MIN
12,LSTM,0.5729538798332214,0.7402489626556017,0.4253695755841679,56,3,28,256,0.0006815588647351,198,MIN
13,LSTM,0.5727536082267761,0.7402489626556017,0.4253695755841679,298,1,28,256,0.0087976510505855,106,MIN
14,LSTM,0.5732430815696716,0.7398042414355628,0.4252226910454758,293,1,7,256,0.0021004436583998,96,MIN
15,LSTM,0.5735114216804504,0.7396257119609438,0.4251637043966323,137,1,4,256,0.0096728660972363,117,MIN
16,LSTM,0.5729690194129944,0.7400990099009901,0.4253200568990042,196,1,21,256,0.0831570656196533,16,MIN
17,LSTM,0.5754287242889404,0.7402489626556017,0.4253695755841679,299,1,28,256,0.0009034677706121,109,MIN
18,LSTM,0.5754435062408447,0.7402489626556017,0.4253695755841679,240,1,28,128,0.0031659659067992,80,MIN
19,LSTM,0.5740517973899841,0.7402489626556017,0.4253695755841679,189,2,28,256,0.0001258208588535,127,MIN
20,LSTM,0.5737277865409851,0.7398042414355628,0.4252226910454758,149,2,7,256,0.0135686176727881,169,MIN
21,LSTM,0.5730130076408386,0.7402489626556017,0.4253695755841679,89,2,28,256,0.0043232934351283,175,MIN
22,LSTM,0.5730517506599426,0.7402489626556017,0.4253695755841679,101,3,28,256,0.0087195679629988,168,MIN
23,LSTM,0.5727641582489014,0.7402489626556017,0.4253695755841679,271,1,28,256,0.0053437939927372,78,MIN
24,LSTM,0.5755307078361511,0.7402489626556017,0.4253695755841679,280,1,28,256,0.0008402727041559,82,MIN
25,LSTM,0.5728679299354553,0.7400990099009901,0.4253200568990042,273,1,21,256,0.0027656337538676,127,MIN
26,LSTM,0.5731626749038696,0.7400990099009901,0.4253200568990042,270,1,21,32,0.0134431112737085,81,MIN
27,LSTM,0.5730418562889099,0.7400990099009901,0.4253200568990042,240,1,21,128,0.0616209317723254,130,MIN
28,LSTM,0.5748263001441956,0.7400990099009901,0.4253200568990042,280,1,21,64,0.0012083216976686,97,MIN
29,LSTM,0.5742566585540771,0.7396257119609438,0.4251637043966323,258,2,4,128,0.0038366061981089,33,MIN
30,LSTM,0.5737382769584656,0.7396257119609438,0.4251637043966323,248,1,4,256,0.000400377663624,156,MIN
31,LSTM,0.5729016661643982,0.7400990099009901,0.4253200568990042,223,1,21,256,0.0024321593233515,120,MIN
32,LSTM,0.572980523109436,0.7400990099009901,0.4253200568990042,221,1,21,256,0.0055570824995926,110,MIN
33,LSTM,0.573026180267334,0.7400990099009901,0.4253200568990042,276,1,21,256,0.0024265838653631,131,MIN
34,LSTM,0.5797144770622253,0.7400990099009901,0.4253200568990042,215,1,21,64,0.00129703464965,154,MIN
35,LSTM,0.5730384588241577,0.7400990099009901,0.4253200568990042,233,1,21,256,0.0140894146702979,71,MIN
36,LSTM,0.5733571648597717,0.7398042414355628,0.4252226910454758,288,1,7,256,0.0015631420719589,141,MIN
37,LSTM,0.5786777138710022,0.7400990099009901,0.4253200568990042,263,1,21,32,0.003462001254197,91,MIN
38,LSTM,0.5746260285377502,0.7399507793273175,0.4252710985384252,253,2,14,64,0.0216155771454915,47,MIN
39,LSTM,0.5730366706848145,0.7400990099009901,0.4253200568990042,202,1,21,128,0.0366658104765434,119,MIN
40,LSTM,0.5739037990570068,0.7396257119609438,0.4251637043966323,300,1,4,256,0.00046562403323,104,MIN
41,LSTM,0.5727301239967346,0.7402489626556017,0.4253695755841679,184,1,28,256,0.0025134710974461,120,MIN
42,LSTM,0.5728403925895691,0.7402489626556017,0.4253695755841679,181,1,28,256,0.0020287209591645,132,MIN
43,LSTM,0.5727232098579407,0.7402489626556017,0.4253695755841679,188,1,28,256,0.0059791642505297,135,MIN
44,LSTM,0.57280433177948,0.7402489626556017,0.4253695755841679,178,1,28,256,0.0048131279304075,147,MIN
45,LSTM,0.5728893280029297,0.7402489626556017,0.4253695755841679,166,1,28,32,0.0050857470900107,146,MIN
46,LSTM,0.572839617729187,0.7402489626556017,0.4253695755841679,155,2,28,256,0.0068324379597289,159,MIN
47,LSTM,0.5728529095649719,0.7402489626556017,0.4253695755841679,183,1,28,256,0.0118930484638093,139,MIN
48,LSTM,0.5727757811546326,0.7402489626556017,0.4253695755841679,122,1,28,256,0.0076462106268932,72,MIN
49,LSTM,0.5728345513343811,0.7402489626556017,0.4253695755841679,123,1,28,256,0.0188321011927037,71,MIN
50,LSTM,0.5730817317962646,0.7402489626556017,0.4253695755841679,206,3,28,64,0.0087669131516129,88,MIN
51,LSTM,0.5732894539833069,0.7402489626556017,0.4253695755841679,172,1,28,256,0.0061741083293561,105,MIN
52,LSTM,0.5727757811546326,0.7402489626556017,0.4253695755841679,142,1,28,256,0.0043875327859302,56,MIN
53,LSTM,0.5730514526367188,0.7402489626556017,0.4253695755841679,128,1,28,256,0.010401556010443,53,MIN
54,LSTM,0.5728542804718018,0.7402489626556017,0.4253695755841679,107,1,28,256,0.0074210163627397,36,MIN
55,LSTM,0.5730798840522766,0.7399507793273175,0.4252710985384252,145,1,14,256,0.0043037535076131,73,MIN
56,LSTM,0.5815099477767944,0.7402489626556017,0.4253695755841679,159,1,28,256,0.0033151671941535,62,MIN
57,LSTM,0.5728505253791809,0.7402489626556017,0.4253695755841679,140,2,28,256,0.0155460993674959,49,MIN
58,LSTM,0.5732807517051697,0.7402489626556017,0.4253695755841679,66,1,28,32,0.0302584282037253,23,MIN
59,LSTM,0.5734826326370239,0.7398042414355628,0.4252226910454758,125,1,7,256,0.0017254259304302,112,MIN
60,LSTM,0.5731473565101624,0.7402489626556017,0.4253695755841679,115,1,28,128,0.0082011772591133,66,MIN
61,LSTM,0.5728277564048767,0.7402489626556017,0.4253695755841679,188,1,28,256,0.0045462158613749,101,MIN
62,LSTM,0.5728745460510254,0.7402489626556017,0.4253695755841679,165,1,28,256,0.005768050441193,43,MIN
63,LSTM,0.5728205442428589,0.7402489626556017,0.4253695755841679,193,1,28,256,0.0030464119734714,86,MIN
64,LSTM,0.5726613998413086,0.7402489626556017,0.4253695755841679,91,1,28,256,0.0104526922184811,183,MIN
65,LSTM,0.572756826877594,0.7402489626556017,0.4253695755841679,75,1,28,256,0.0103022290727012,78,MIN
66,LSTM,0.5727633237838745,0.7402489626556017,0.4253695755841679,73,1,28,256,0.0100278904019613,188,MIN
67,LSTM,0.5730500817298889,0.7399507793273175,0.4252710985384252,68,1,14,256,0.010782841445926,189,MIN
68,LSTM,0.5728335976600647,0.7402489626556017,0.4253695755841679,80,1,28,256,0.0173859993202748,184,MIN
69,LSTM,0.57284015417099,0.7402489626556017,0.4253695755841679,94,1,28,256,0.0231558817358933,177,MIN
70,LSTM,0.5745514035224915,0.7398042414355628,0.4252226910454758,74,1,7,64,0.0122140437248282,164,MIN
71,LSTM,0.5734807848930359,0.7402489626556017,0.4253695755841679,56,1,28,256,0.0093937399492697,191,MIN
72,LSTM,0.5728028416633606,0.7402489626556017,0.4253695755841679,86,1,28,256,0.0069329245640978,78,MIN
73,LSTM,0.5728970766067505,0.7402489626556017,0.4253695755841679,100,1,28,256,0.0153110327291259,178,MIN
74,LSTM,0.5739709138870239,0.7396257119609438,0.4251637043966323,82,1,4,256,0.0079777801257998,200,MIN
75,LSTM,0.5728848576545715,0.7402489626556017,0.4253695755841679,290,1,28,128,0.0059930518536469,91,MIN
76,LSTM,0.5728903412818909,0.7402489626556017,0.4253695755841679,93,1,28,256,0.0103682724247354,98,MIN
77,LSTM,0.5727185606956482,0.7402489626556017,0.4253695755841679,74,1,28,32,0.0257793922704346,111,MIN
78,LSTM,0.572813868522644,0.7402489626556017,0.4253695755841679,61,2,28,32,0.0528780142506137,124,MIN
79,LSTM,0.5728380084037781,0.7402489626556017,0.4253695755841679,74,3,28,32,0.0244428560133966,113,MIN
80,LSTM,0.5732635855674744,0.7399507793273175,0.4252710985384252,50,1,14,32,0.0414411947043012,183,MIN
81,LSTM,0.573434054851532,0.7402489626556017,0.4253695755841679,74,1,28,32,0.003684786054959,76,MIN
82,LSTM,0.5727440714836121,0.7402489626556017,0.4253695755841679,113,1,28,256,0.0126669635022059,106,MIN
83,LSTM,0.5729863047599792,0.7402489626556017,0.4253695755841679,114,1,28,32,0.0303417423936154,135,MIN
84,LSTM,0.5727248191833496,0.7402489626556017,0.4253695755841679,64,1,28,256,0.0170673479069398,106,MIN
85,LSTM,0.5728044509887695,0.7402489626556017,0.4253695755841679,62,1,28,256,0.0189385051856834,107,MIN
86,LSTM,0.5728481411933899,0.7402489626556017,0.4253695755841679,81,1,28,256,0.0125188457743734,115,MIN
87,LSTM,0.5737180709838867,0.7396257119609438,0.4251637043966323,69,1,4,256,0.0154165341888928,119,MIN
88,LSTM,0.573295533657074,0.7402489626556017,0.4253695755841679,102,1,28,64,0.0259038510491435,124,MIN
89,LSTM,0.5733317136764526,0.7398042414355628,0.4252226910454758,89,1,7,256,0.0209015958676532,94,MIN
90,LSTM,0.5727624297142029,0.7402489626556017,0.4253695755841679,78,1,28,256,0.0384038953287793,100,MIN
91,LSTM,0.5729700922966003,0.7402489626556017,0.4253695755841679,77,1,28,256,0.039155821158169,102,MIN
92,LSTM,0.5728301405906677,0.7402489626556017,0.4253695755841679,57,1,28,256,0.0890402828011445,109,MIN
93,LSTM,0.5727232098579407,0.7402489626556017,0.4253695755841679,93,1,28,256,0.0112357522582576,85,MIN
94,LSTM,0.6691765785217285,0.7402489626556017,0.4253695755841679,106,1,28,256,0.0600862140714955,100,MIN
95,LSTM,0.5770736932754517,0.7402489626556017,0.4253695755841679,96,1,28,256,0.046559420910634,84,MIN
96,LSTM,0.5728474259376526,0.7402489626556017,0.4253695755841679,87,1,28,256,0.0346037647844553,123,MIN
97,LSTM,0.5728560090065002,0.7402489626556017,0.4253695755841679,63,1,28,128,0.0718270686447213,94,MIN
98,LSTM,0.5729284286499023,0.7402489626556017,0.4253695755841679,111,1,28,32,0.0138331220152692,116,MIN
99,LSTM,0.6640975475311279,0.4946058091286307,0.4678908728360373,232,1,28,256,0.0286539796509298,88,MIN
0,LSTM,0.573310911655426,0.7399507793273175,0.4252710985384252,239,1,14,128,0.0475434635857977,51,MAX
1,LSTM,0.5730748772621155,0.7398042414355628,0.4252226910454758,63,2,7,256,0.0003380862084834,32,MAX
2,LSTM,0.5778414607048035,0.7399507793273175,0.4252710985384252,240,2,14,128,0.0069428782710357,96,MAX
3,LSTM,0.5722610354423523,0.7410788381742739,0.4256434699714013,218,3,28,256,0.0001692515006783,44,MAX
4,LSTM,0.5737303495407104,0.7398042414355628,0.4252226910454758,232,2,7,128,0.000586407708855,139,MAX
5,LSTM,0.5736173987388611,0.7398042414355628,0.4252226910454758,232,2,7,32,0.0002974735724552,169,MAX
6,LSTM,0.5738256573677063,0.7396257119609438,0.4251637043966323,292,1,4,128,0.0031596135266104,169,MAX
7,LSTM,0.5731099843978882,0.7400990099009901,0.4253200568990042,169,3,21,256,0.000703069090694,80,MAX
8,LSTM,0.5751674175262451,0.7396257119609438,0.4251637043966323,206,3,4,64,0.033223601967582,82,MAX
9,LSTM,0.5735841989517212,0.7398042414355628,0.4252226910454758,112,3,7,32,0.0720218200398918,94,MAX
10,LSTM,0.5723245143890381,0.7410788381742739,0.4256434699714013,155,3,28,256,0.0001011830754516,13,MAX
11,LSTM,0.5721016526222229,0.7410788381742739,0.4256434699714013,148,3,28,256,0.0001038627041675,19,MAX
12,LSTM,0.5720171332359314,0.7410788381742739,0.4256434699714013,121,3,28,256,0.0001806313915102,48,MAX
13,LSTM,0.5722278356552124,0.7410788381742739,0.4256434699714013,124,3,28,256,0.0019171682913361,15,MAX
14,LSTM,0.5720173120498657,0.7410788381742739,0.4256434699714013,72,3,28,64,0.001208316443264,63,MAX
15,LSTM,0.5720713138580322,0.7410788381742739,0.4256434699714013,58,2,28,64,0.0011447481096746,65,MAX
16,LSTM,0.5730882287025452,0.7400990099009901,0.4253200568990042,88,3,21,64,0.0165281321724858,127,MAX
17,LSTM,0.5730788111686707,0.7410788381742739,0.4256434699714013,99,1,28,64,0.0061043513606215,123,MAX
18,LSTM,0.5755735635757446,0.7410788381742739,0.4256434699714013,80,3,28,64,0.0013704238709398,61,MAX
19,LSTM,0.5720002055168152,0.7410788381742739,0.4256434699714013,141,2,28,32,0.0003073416777977,200,MAX
20,LSTM,0.5734845399856567,0.7399507793273175,0.4252710985384252,130,2,14,32,0.0002170116649689,191,MAX
21,LSTM,0.5731499195098877,0.7410788381742739,0.4256434699714013,135,2,28,32,0.0006123463972275,73,MAX
22,LSTM,0.5719151496887207,0.7410788381742739,0.4256434699714013,193,3,28,32,0.0004743609041508,37,MAX
23,LSTM,0.5726153254508972,0.7410788381742739,0.4256434699714013,190,2,28,32,0.0004186894708009,33,MAX
24,LSTM,0.5729131102561951,0.7400990099009901,0.4253200568990042,184,1,21,32,0.0001607585740377,154,MAX
25,LSTM,0.5720762610435486,0.7410788381742739,0.4256434699714013,159,2,28,32,0.0002166663459249,113,MAX
26,LSTM,0.5776733756065369,0.7396257119609438,0.4251637043966323,109,3,4,32,0.0004379656620761,199,MAX
27,LSTM,0.5723088383674622,0.7410788381742739,0.4256434699714013,196,2,28,32,0.0026129323540003,36,MAX
28,LSTM,0.5719441771507263,0.7410788381742739,0.4256434699714013,264,3,28,32,0.0007942744595998,48,MAX
29,LSTM,0.5740127563476562,0.7399507793273175,0.4252710985384252,270,1,14,32,0.0055941849246755,104,MAX
30,LSTM,0.5762719511985779,0.7410788381742739,0.4256434699714013,267,3,28,32,0.0008917465995986,177,MAX
31,LSTM,0.5722628235816956,0.7410788381742739,0.4256434699714013,255,3,28,32,0.000296785875562,51,MAX
32,LSTM,0.5728026628494263,0.7410788381742739,0.4256434699714013,171,3,28,256,0.0004856006114215,50,MAX
33,LSTM,0.5720381736755371,0.7410788381742739,0.4256434699714013,143,3,28,32,0.0002598670268671,27,MAX
34,LSTM,0.5737744569778442,0.7399507793273175,0.4252710985384252,296,2,14,128,0.000155221534965,39,MAX
35,LSTM,0.5719786882400513,0.7410788381742739,0.4256434699714013,217,3,28,256,0.0019585416282342,25,MAX
