trial,model,rmse,mae,r2,hidden_size,num_layers,sequence_length,batch_size,learning_rate,epochs
28,LSTM_DA,3383.08251953125,2997.42626953125,-3.1046624183654785,252,2,7,256,0.016737460639625,197
29,LSTM_DA,929.3185424804688,724.3633422851562,0.6868257522583008,297,1,28,256,0.0139570148407702,161
30,LSTM_DA,699.6834716796875,553.3938598632812,0.8239459991455078,217,1,14,64,0.0048819915152426,144
31,LSTM_DA,517.8680419921875,403.7608337402344,0.9039742350578308,237,1,4,256,0.0016250053151285,111
32,LSTM_DA,877.6099853515625,752.9857788085938,0.7242263555526733,218,1,4,256,0.0004918613091707,108
33,LSTM_DA,725.9566040039062,548.563232421875,0.8113003969192505,272,1,4,256,0.002358685183733,130
34,LSTM_DA,974.4959106445312,811.8748779296875,0.6599759459495544,246,1,4,256,0.0001010483941296,102
35,LSTM_DA,491.9137573242188,375.3953857421875,0.913358211517334,285,1,4,256,0.0013105825013102,160
36,LSTM_DA,994.4140625,845.0175170898438,0.6426583528518677,285,1,21,64,0.0104038842160267,11
37,LSTM_DA,1623.1572265625,1500.4818115234375,0.0566544532775878,298,2,4,32,0.0006041855348823,120
38,LSTM_DA,972.8562622070312,762.9138793945312,0.660570502281189,278,3,7,256,0.0002576561897178,98
39,LSTM_DA,1249.4593505859375,1083.5390625,0.4338895678520202,259,1,28,64,0.0010293456308161,166
40,LSTM_DA,1118.020263671875,897.2301635742188,0.5524423718452454,286,1,4,256,0.005208525658265,142
41,LSTM_DA,786.6978149414062,584.48046875,0.7784022092819214,230,1,4,256,0.0014989776868704,178
42,LSTM_DA,570.4603881835938,445.4114074707031,0.8834799528121948,264,1,4,256,0.0019761790117738,155
43,LSTM_DA,479.26849365234375,380.0083312988281,0.9177554249763488,247,1,4,256,0.0006042600119849,94
44,LSTM_DA,970.1806030273438,809.9674682617188,0.6629806756973267,300,1,4,256,0.0001556602188352,97
45,LSTM_DA,922.3863525390624,798.601318359375,0.6948748826980591,205,1,7,64,0.0005931827775902,93
46,LSTM_DA,776.1119384765625,629.0916137695312,0.7833836078643799,270,2,14,32,0.0006863418532392,79
47,LSTM_DA,581.469970703125,493.4312438964844,0.8789390325546265,175,1,4,256,0.0004341273129075,113
48,LSTM_DA,595.5538940429688,471.8348693847656,0.8730034828186035,253,1,4,64,0.0028635221892246,50
49,LSTM_DA,690.6012573242188,509.33013916015625,0.8276529908180237,282,1,21,256,0.0010616364576129,93
50,LSTM_DA,1153.65185546875,913.9248657226562,0.522688627243042,290,3,7,256,0.0003294412842264,73
51,LSTM_DA,680.50830078125,558.8554077148438,0.8341878056526184,242,1,4,256,0.0013587480033407,195
52,LSTM_DA,585.9063720703125,462.5370178222656,0.8770846724510193,228,1,4,256,0.001922151589943,138
53,LSTM_DA,568.225830078125,441.2918395996094,0.8843910098075867,244,1,4,256,0.000764807031691,149
54,LSTM_DA,3279.8955078125,2896.7373046875,-2.8518519401550293,273,1,4,128,0.0798393149051085,124
55,LSTM_DA,506.084716796875,387.6646423339844,0.9082943797111512,262,1,4,256,0.0016211943009139,186
56,LSTM_DA,2126.974365234375,1658.964111328125,-0.6405191421508789,260,1,28,32,0.0031531311660735,184
57,LSTM_DA,969.1376953125,769.5723876953125,0.6637048721313477,290,2,4,64,0.0009161776313522,170
58,LSTM_DA,610.337890625,460.2731323242188,0.8660374879837036,208,1,14,256,0.0011975278184087,185
59,LSTM_DA,1005.9492797851562,834.0716552734375,0.6370854377746582,189,1,7,256,0.0002194801800069,88
60,LSTM_DA,952.853759765625,695.65234375,0.6719034910202026,135,1,21,256,0.0005300640152023,108
61,LSTM_DA,690.0440673828125,574.669677734375,0.8295083045959473,238,1,4,256,0.0016018450615067,176
62,LSTM_DA,578.4649658203125,470.9916687011719,0.8801870346069336,250,1,4,256,0.0017690217114112,134
63,LSTM_DA,673.6517333984375,523.9924926757812,0.8375123143196106,262,1,4,256,0.0025801401612875,189
64,LSTM_DA,1156.7369384765625,973.2363891601562,0.5209081172943115,276,1,4,128,0.0043378263255392,150
65,LSTM_DA,715.4125366210938,574.0601196289062,0.8167421221733093,232,1,4,256,0.0001295243056828,77
66,LSTM_DA,1041.5950927734375,819.302978515625,0.6115390062332153,52,1,4,64,0.0008280242767263,125
67,LSTM_DA,556.5827026367188,434.6059265136719,0.8889005780220032,255,1,7,256,0.001325537713307,162
68,LSTM_DA,588.8012084960938,465.1138305664063,0.875666081905365,255,1,7,256,0.0012182678923653,165
69,LSTM_DA,957.1090087890624,782.9345703125,0.6714699268341064,267,1,7,256,0.0002742804866812,114
70,LSTM_DA,1405.03466796875,1103.6943359375,0.2920112013816833,292,1,7,32,0.0020839029598765,102
71,LSTM_DA,510.1235961914063,385.3618774414063,0.9066739082336426,278,1,7,256,0.0014573227932282,157
72,LSTM_DA,671.406494140625,546.5125122070312,0.8383322358131409,281,1,7,256,0.0009615449220226,159
73,LSTM_DA,634.5098266601562,515.1083374023438,0.8556126952171326,276,1,7,256,0.0013652339463047,168
74,LSTM_DA,675.73095703125,513.7001953125,0.8362429738044739,263,1,7,256,0.0028850279860856,174
75,LSTM_DA,3550.762451171875,2786.647216796875,-3.521635055541992,294,1,7,256,0.0319764838655647,191
76,LSTM_DA,1597.0738525390625,1478.23974609375,0.0852503776550293,283,1,7,64,0.0006635633459645,181
77,LSTM_DA,1104.29833984375,807.9767456054688,0.5577888488769531,269,1,28,128,0.0038764130300712,23
78,LSTM_DA,1357.8428955078125,1040.0224609375,0.336957037448883,250,3,14,256,0.0004643336705075,70
79,LSTM_DA,1359.3021240234375,1062.545654296875,0.3373498916625976,300,2,7,256,0.0021245720336254,162
80,LSTM_DA,649.585205078125,473.9828796386719,0.8475170135498047,224,1,21,256,0.0011528426041517,89
